episode,mode,mode_episode,score,reward,epsilon
209,train,209,0,-2,0.987615
210,train,210,0,-2,0.987556
211,train,211,15,13,0.987497
212,train,212,39,37,0.987438
213,train,213,12,10,0.987378
214,train,214,34,32,0.987319
215,train,215,0,-2,0.98726
216,train,216,0,-2,0.987201
217,train,217,8,6,0.987142
218,train,218,26,24,0.987083
219,train,219,27,25,0.987024
220,train,220,5,3,0.986964
221,train,221,4,2,0.986905
222,train,222,2,0,0.986846
223,train,223,17,15,0.986787
224,train,224,12,10,0.986728
225,train,225,2,0,0.986669
226,train,226,2,0,0.98661
227,train,227,3,1,0.986551
228,train,228,20,18,0.986491
229,train,229,55,53,0.986432
230,train,230,15,13,0.986373
231,train,231,2,0,0.986314
232,train,232,4,2,0.986255
233,train,233,0,-2,0.986196
234,train,234,13,11,0.986137
235,train,235,0,-2,0.986078
236,train,236,7,5,0.986019
237,train,237,18,16,0.98596
238,train,238,3,1,0.985901
239,train,239,3,1,0.985842
240,train,240,0,-2,0.985782
241,train,241,7,5,0.985723
242,train,242,14,12,0.985664
243,train,243,20,18,0.985605
244,train,244,44,42,0.985546
245,train,245,3,1,0.985487
246,train,246,8,6,0.985428
247,train,247,26,24,0.985369
248,train,248,19,17,0.98531
249,train,249,28,26,0.985251
250,train,250,29,27,0.985192
251,train,251,24,22,0.985133
252,train,252,12,10,0.985074
253,train,253,11,9,0.985015
254,train,254,8,6,0.984956
255,train,255,16,14,0.984897
256,train,256,1,-1,0.984838
257,train,257,3,1,0.984779
258,train,258,35,33,0.98472
259,train,259,15,13,0.984661
260,train,260,16,14,0.984602
261,train,261,5,3,0.984543
262,train,262,57,55,0.984484
263,train,263,1,-1,0.984425
264,train,264,0,-2,0.984366
265,train,265,0,-2,0.984307
266,train,266,11,9,0.984248
267,train,267,6,4,0.984189
268,train,268,15,13,0.98413
269,train,269,48,46,0.984071
270,train,270,2,0,0.984012
271,train,271,0,-2,0.983953
272,train,272,0,-2,0.983894
273,train,273,50,48,0.983835
274,train,274,26,24,0.983776
275,train,275,5,3,0.983717
276,train,276,23,21,0.983658
277,train,277,22,20,0.9836
278,train,278,2,0,0.983541
279,train,279,10,8,0.983482
280,train,280,0,-2,0.983423
281,train,281,0,-2,0.983364
282,train,282,2,0,0.983305
283,train,283,6,4,0.983246
284,train,284,49,47,0.983187
285,train,285,0,-2,0.983128
286,train,286,41,39,0.983069
287,train,287,4,2,0.98301
288,train,288,19,17,0.982951
289,train,289,10,8,0.982893
290,train,290,14,12,0.982834
291,train,291,11,9,0.982775
292,train,292,19,17,0.982716
293,train,293,48,46,0.982657
294,train,294,21,19,0.982598
295,train,295,5,3,0.982539
296,train,296,10,8,0.98248
297,train,297,23,21,0.982422
298,train,298,7,5,0.982363
299,train,299,3,1,0.982304
300,train,300,10,8,0.982245
301,train,301,4,2,0.982186
302,train,302,11,9,0.982127
303,train,303,62,60,0.982068
304,train,304,7,5,0.98201
305,train,305,13,11,0.981951
306,train,306,20,18,0.981892
307,train,307,6,4,0.981833
308,train,308,0,-2,0.981774
309,train,309,29,27,0.981716
310,train,310,17,15,0.981657
311,train,311,60,58,0.981598
312,train,312,10,8,0.981539
313,train,313,14,12,0.98148
314,train,314,0,-2,0.981421
315,train,315,7,5,0.981363
316,train,316,8,6,0.981304
317,train,317,8,6,0.981245
318,train,318,13,11,0.981186
319,train,319,0,-2,0.981128
320,train,320,10,8,0.981069
321,train,321,2,0,0.98101
322,train,322,6,4,0.980951
323,train,323,36,34,0.980892
324,train,324,32,30,0.980834
325,train,325,1,-1,0.980775
326,train,326,53,51,0.980716
327,train,327,11,9,0.980657
328,train,328,56,54,0.980599
329,train,329,18,16,0.98054
330,train,330,0,-2,0.980481
331,train,331,1,-1,0.980422
332,train,332,0,-2,0.980364
333,train,333,13,11,0.980305
334,train,334,11,9,0.980246
335,train,335,52,50,0.980187
336,train,336,0,-2,0.980129
337,train,337,36,34,0.98007
338,train,338,6,4,0.980011
339,train,339,18,16,0.979953
340,train,340,58,56,0.979894
341,train,341,3,1,0.979835
342,train,342,39,37,0.979776
343,train,343,4,2,0.979718
344,train,344,4,2,0.979659
345,train,345,12,10,0.9796
346,train,346,9,7,0.979542
347,train,347,22,20,0.979483
348,train,348,33,31,0.979424
349,train,349,22,20,0.979366
350,train,350,19,17,0.979307
351,train,351,10,8,0.979248
352,train,352,3,1,0.97919
353,train,353,7,5,0.979131
354,train,354,0,-2,0.979072
355,train,355,0,-2,0.979014
356,train,356,19,17,0.978955
357,train,357,35,33,0.978896
358,train,358,8,6,0.978838
359,train,359,3,1,0.978779
360,train,360,0,-2,0.97872
361,train,361,4,2,0.978662
362,train,362,4,2,0.978603
363,train,363,9,7,0.978544
364,train,364,26,24,0.978486
365,train,365,9,7,0.978427
366,train,366,7,5,0.978369
367,train,367,21,19,0.97831
368,train,368,5,3,0.978251
369,train,369,8,6,0.978193
370,train,370,0,-2,0.978134
371,train,371,23,21,0.978075
372,train,372,0,-2,0.978017
373,train,373,1,-1,0.977958
374,train,374,0,-2,0.9779
375,train,375,16,14,0.977841
376,train,376,4,2,0.977783
377,train,377,30,28,0.977724
